periodID,statefips,emp_combined,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
2020_1_22,26,0.283,-0.00032,-7.48E-04,0.00594,0.00477
2020_1_22,27,0.287,0.00168,0.00271,0.00309,0.00769
2020_1_22,28,0.272,0.00907,0.00525,0.0025,-0.0101
2020_1_22,29,0.184,0.00122,0.0034,0.000166,-0.001
2020_1_22,30,0.375,0.00445,0.0129,-0.0148,0.00431
2020_1_22,31,-0.263,-0.000417,-0.01,-0.00673,-0.00228
2020_1_22,32,0.272,-0.000138,0.00187,0.00979,-0.00262
2020_1_22,33,0.301,0.000336,0.00672,0.00569,0.000327
2020_1_22,34,0.268,0.00161,0.00248,0.00478,0.0017
2020_1_22,35,0.523,0.00571,0.00224,0.0104,-0.00412
2020_1_22,36,0.368,0.00394,0.00312,0.00467,0.00215
2020_1_22,37,0.223,-0.000456,0.00199,0.00518,0.00331
2020_1_22,38,0.779,0.009,0.00513,0.00826,.
2020_1_22,39,0.111,0.00131,0.00106,0.00325,0.000432
2020_1_22,40,0.358,0.00106,0.0105,0.00316,0.00569
